timestamp,power,current,voltage,frequency,power_factor
1376073000,28368.60645,NA,240.99646,50.32322,0.93397
1376073060,28411.98828,NA,241.19509,50.35931,0.93536
1376073120,28752.53809,NA,241.38574,50.39784,0.93675
1376073180,29031.44629,NA,241.72626,50.44616,0.93685
1376073240,28487.45801,NA,241.94244,50.44468,0.93448
1376073300,29072.91406,NA,242.02003,50.42718,0.93689
1376073360,28729.22168,NA,242.07457,50.41005,0.93626
1376073420,28442.22656,NA,242.34813,50.42634,0.93518
1376073480,28477.09375,NA,242.51829,50.44069,0.93318
1376073540,25086.33496,NA,242.57195,50.45242,-0.98944
1376073600,23585.04297,NA,242.81127,50.45498,-0.99067
1376073660,20580.85352,NA,242.97832,50.48701,-0.99591
1376073720,20131.13379,NA,244.20347,50.45339,-0.99426
1376073780,18447.18848,NA,240.20615,50.45858,-0.99513
1376073840,18411.09863,NA,240.1042,50.45797,-0.99518
1376073900,18397.11621,NA,239.98656,50.47053,-0.99522
1376073960,18382.91895,NA,239.90163,50.44991,-0.9952
1376074020,18347.28711,NA,239.82455,50.40161,-0.99526
1376074080,18340.10938,NA,239.79614,50.36032,-0.99521
1376074140,18327.14453,NA,239.82727,50.37793,-0.9953
1376074200,18307.53125,NA,239.93967,50.38715,-0.99534
1376074260,18303.3291,NA,239.87463,50.36056,-0.99535
1376074320,18323.40137,NA,240.15022,50.3709,-0.9954
1376074380,18325.74023,NA,240.27577,50.39063,-0.99536
1376074440,18306.94043,NA,240.15375,50.38619,-0.99533
1376074500,18326.85254,NA,240.19522,50.38605,-0.99534
1376074560,18316.87109,NA,240.10469,50.3654,-0.99542
1376074620,18401.10059,NA,240.08762,50.34671,-0.99553
1376074680,18376.25195,NA,240.02478,50.33537,-0.99544
1376074740,18372.41602,NA,240.02033,50.33072,-0.99543
1376074800,18392.46484,NA,240.11914,50.32912,-0.99544
1376074860,18302.35449,NA,240.01809,50.29724,-0.99552
1376074920,18229.41699,NA,239.73914,50.23614,-0.99554
1376074980,18233.87793,NA,239.60796,50.21947,-0.99523
1376075040,18118.30664,NA,239.71526,50.24115,-0.99543
1376075100,18146.26562,NA,239.82028,50.2662,-0.99529
1376075160,18473.14062,NA,239.92473,50.25426,-0.99515
1376075220,18447.85449,NA,239.9727,50.25475,-0.99553
1376075280,18121.17871,NA,239.94153,50.19902,-0.99535
1376075340,18116.49512,NA,239.85109,50.17528,-0.99537
1376075400,18105.33105,NA,239.74802,50.13964,-0.99536
1376075460,18324.46191,NA,239.73311,50.12179,-0.99565
1376075520,18276.35059,NA,239.79233,50.11647,-0.99568
1376075580,18322.56055,NA,239.72537,50.09058,-0.99573
1376075640,18323.8623,NA,239.69571,50.08312,-0.99577
1376075700,18318.53027,NA,239.73103,50.10144,-0.99578
1376075760,18106.05762,NA,239.67786,50.07217,-0.99542
1376075820,18347.53027,NA,239.69184,50.0693,-0.99588
1376075880,18557.84961,NA,239.71436,50.05893,-0.99552
1376075940,17980.56445,NA,239.74417,50.0689,-0.9952
1376076000,17982.21387,NA,239.72591,50.08416,-0.99513
1376076060,17978.13281,NA,239.67066,50.08932,-0.99515
1376076120,18188.46191,NA,239.82825,50.09693,-0.99572
1376076180,18354.75293,NA,239.92313,50.1017,-0.99507
1376076240,18052.15625,NA,240.10738,50.14799,-0.99581
1376076300,18134.57812,NA,240.27921,50.16918,-0.99602
1376076360,17924.6416,NA,240.39211,50.19362,-0.99452
1376076420,17846.47656,NA,240.33757,50.14941,-0.99557
1376076480,17889.2207,NA,240.29184,50.12545,-0.99562
1376076540,17959.56445,NA,240.26671,50.13573,-0.99574
1376076600,17801.39941,NA,240.39985,50.15491,-0.99594
1376076660,18440.57715,NA,240.55363,50.18832,-0.99697
1376076720,17772.67188,NA,240.67792,50.19201,-0.99724
1376076780,17789.53613,NA,240.61708,50.15934,-0.99702
1376076840,17745.69336,NA,240.57006,50.14598,-0.99701
1376076900,18304.90625,NA,240.50133,50.13289,-0.99696
1376076960,17740.94043,NA,240.59296,50.13692,-0.99701
1376077020,17594.0791,NA,240.66626,50.13029,-0.99546
1376077080,17915.98633,NA,240.60732,50.14648,-0.99551
1376077140,17515.86133,NA,240.69356,50.1296,-0.99526
1376077200,18010.99707,NA,240.63293,50.10176,-0.99548
1376077260,17614.63672,NA,241.98919,50.09865,-0.99386
1376077320,17851.4668,NA,243.10419,50.09427,-0.99476
1376077380,17805.70117,NA,240.43707,50.07692,-0.99506
1376077440,17636.81445,NA,240.51972,50.09891,-0.99523
1376077500,17614.16992,NA,240.56187,50.12927,-0.99517
1376077560,17383.51855,NA,240.75834,50.14814,-0.99553
1376077620,17352.44727,NA,240.83379,50.18234,-0.99484
1376077680,17345.25195,NA,240.93203,50.1957,-0.99493
1376077740,17363.04688,NA,240.99213,50.22091,-0.99491
1376077800,17362.49219,NA,241.00079,50.2014,-0.995
1376077860,17324.46777,NA,240.92225,50.18559,-0.99496
1376077920,17347.98633,NA,241.41513,50.22952,-0.99498
1376077980,17205.26074,NA,241.20793,50.23354,-0.99488
1376078040,17075.32422,NA,241.10065,50.20174,-0.99486
1376078100,17080.10352,NA,241.17073,50.21967,-0.99493
1376078160,17092.05371,NA,241.25184,50.21668,-0.99498
1376078220,17674.25,NA,241.2933,50.23238,-0.99511
1376078280,17668.35449,NA,241.20091,50.19369,-0.99518
1376078340,17086.04004,NA,241.19967,50.18577,-0.99489
1376078400,17094.80273,NA,241.3572,50.20798,-0.9948
1376078460,17097.12402,NA,241.41805,50.20714,-0.99501
1376078520,17229.875,NA,241.40005,50.19439,-0.99497
1376078580,17218.40234,NA,241.40676,50.20787,-0.99499
1376078640,17244.60059,NA,241.55745,50.23625,-0.99506
1376078700,17502.21191,NA,241.5835,50.22412,-0.99535
1376078760,17929.64941,NA,241.55893,50.24734,-0.99553
1376078820,17184.53906,NA,241.45998,50.23794,-0.9953
1376078880,16830.10547,NA,241.54161,50.25768,-0.99486
1376078940,16803.06055,NA,241.61703,50.28585,-0.99472
1376079000,16690.47656,NA,241.81323,50.30894,-0.99498
1376079060,16682.80176,NA,241.82938,50.29811,-0.99501
1376079120,16679.80566,NA,241.85939,50.28732,-0.99497
1376079180,16793.08691,NA,241.85226,50.26776,-0.99433
1376079240,16795.93555,NA,241.8985,50.28638,-0.99526
1376079300,16654.29492,NA,241.81354,50.26984,-0.99534
1376079360,16660.66699,NA,241.78505,50.25848,-0.9951
1376079420,16653.35059,NA,241.79596,50.28741,-0.99507
1376079480,16656.65039,NA,241.85535,50.29794,-0.99506
1376079540,16671.5293,NA,242.00098,50.34145,-0.99507
1376079600,16870.52734,NA,242.1889,50.35547,-0.99454
1376079660,16998.8418,NA,242.25486,50.36125,-0.99404
1376079720,17018.06445,NA,242.31915,50.36874,-0.99361
1376079780,17024.75586,NA,242.33743,50.38687,-0.99366
1376079840,17214.26953,NA,242.42779,50.41137,-0.99392
1376079900,17196.28125,NA,242.44398,50.40144,-0.99382
1376079960,16811.5957,NA,242.4492,50.38611,-0.99507
1376080020,16813.92578,NA,242.40404,50.34931,-0.99513
1376080080,16866.51855,NA,242.36536,50.33128,-0.99523
1376080140,16907.87109,NA,242.50773,50.35387,-0.99539
1376080200,16907.06055,NA,242.55634,50.35696,-0.99539
1376080260,16931.1084,NA,242.64618,50.38505,-0.99538
1376080320,16953.96094,NA,242.73105,50.39882,-0.9954
1376080380,16960.98633,NA,242.7999,50.42112,-0.99545
1376080440,16957.0166,NA,242.9874,50.44274,-0.99532
1376080500,16918.06738,NA,242.97314,50.42251,-0.99549
1376080560,16762.04102,NA,243.0686,50.43548,-0.99531
1376080620,16759.70898,NA,243.21946,50.43485,-0.99527
1376080680,16743.99902,NA,243.37229,50.46247,-0.99551
1376080740,16601.88672,NA,243.52169,50.47028,-0.99533
1376080800,17170.79883,NA,243.42712,50.42706,-0.99568
1376080860,16884.70898,NA,243.52253,50.43876,-0.99554
1376080920,16721.91895,NA,246.20408,50.44752,-0.99508
1376080980,16443.18066,NA,243.49048,50.43331,-0.99534
1376081040,16523.60645,NA,243.3786,50.39554,-0.99423
1376081100,16480.87988,NA,243.33347,50.38708,-0.99547
1376081160,16494.21191,NA,243.44849,50.3949,-0.99549
1376081220,16502.05371,NA,243.47585,50.39568,-0.99552
1376081280,16501.20312,NA,243.51641,50.38525,-0.99554
1376081340,16490.16602,NA,243.55483,50.39213,-0.99555
1376081400,16486.53125,NA,243.54356,50.37977,-0.99552
1376081460,17183.62598,NA,243.51855,50.37299,0.00109
1376081520,17796.15625,NA,243.80335,50.36206,0.99771
1376081580,17702.55566,NA,243.63662,50.36863,0.99741
1376081640,17709.78223,NA,243.6881,50.36657,0.99741
1376081700,17727.85352,NA,243.75774,50.38001,0.9974
1376081760,17723.27637,NA,243.66016,50.36583,0.99741
1376081820,17742.75977,NA,243.76723,50.41035,0.99734
1376081880,17765.45508,NA,243.89788,50.43225,0.99738
1376081940,17784.32422,NA,243.91985,50.40914,-1.00E-05
1376082000,17725.95996,NA,244.00925,50.43322,0.99743
1376082060,16365.89014,NA,243.9177,50.43306,-0.99546
1376082120,16372.57471,NA,243.89676,50.44079,-0.99547
1376082180,16369.39844,NA,243.93143,50.42406,-0.99551
1376082240,16469.98828,NA,243.87547,50.41627,-0.99566
1376082300,16466.27344,NA,244.018,50.45011,-0.99569
1376082360,16472.51758,NA,244.1186,50.48811,-0.99567
1376082420,16467.14355,NA,244.18301,50.48418,-0.99565
1376082480,16466.41406,NA,244.14278,50.46696,-0.99571
1376082540,16479.90625,NA,244.25166,50.47249,-0.99572
1376082600,16398.19873,NA,244.15366,50.44436,-0.9963
1376082660,16359.16553,NA,244.13885,50.43645,-0.99553
1376082720,16353.29688,NA,244.07379,50.41881,-0.99548
1376082780,16468.11426,NA,244.10288,50.42461,-0.99562
1376082840,16455.09473,NA,244.19894,50.42296,3.00E-05
1376082900,16606.9082,NA,244.31747,50.44764,-0.99594
1376082960,16580.62793,NA,244.31454,50.42029,-0.00022
1376083020,16586.83301,NA,244.1771,50.40611,-0.99593
1376083080,16589.99414,NA,244.14442,50.42704,-0.99593
1376083140,16483.94238,NA,244.14212,50.44904,-0.99562
1376083200,16491.31836,NA,244.21848,50.45593,-0.99563
1376083260,16497.90527,NA,244.30968,50.46796,-0.99562
1376083320,16519.95703,NA,244.4828,50.49732,-0.99566
1376083380,16513.87793,NA,244.49513,50.4846,-0.99566
1376083440,16503.10254,NA,244.41114,50.48484,-0.99564
1376083500,16449.8623,NA,244.51814,50.49567,-0.99557
1376083560,16387.65723,NA,244.51441,50.47985,-0.9955
1376083620,16682.06152,NA,244.55637,50.51307,-0.99562
1376083680,16984.20605,NA,244.63858,50.53751,-0.99574
1376083740,16381.92676,NA,244.51944,50.52083,-0.99548
1376083800,16376.47656,NA,244.42892,50.50785,-0.99542
1376083860,16378.34717,NA,244.41949,50.4722,-0.99543
1376083920,16376.26074,NA,244.44419,50.47389,-0.99547
1376083980,16379.72461,NA,244.53234,50.49327,-0.99547
1376084040,16389.97852,NA,244.65805,50.51128,-0.99545
1376084100,16398.3252,NA,244.7203,50.51468,-0.99545
1376084160,16397.53711,NA,244.7742,50.52947,-0.99546
1376084220,16388.83496,NA,244.65188,50.5056,-0.99546
1376084280,16383.32178,NA,244.66626,50.51802,-0.9954
1376084340,16413.52832,NA,244.87186,50.53426,-0.99551
1376084400,16411.88867,NA,244.85086,50.50546,-0.99551
1376084460,16404.72852,NA,244.8372,50.49096,-0.99555
1376084520,16613.97266,NA,247.46686,50.4853,-0.99582
